phase,symbol,config_name,detail,seconds
backtest/evaluation,MGC,allow_reclaim_after_opposite_breakout_conservative__buffer_1__require_vwap_true,,8.8794474999886
writing_exports,MGC,allow_reclaim_after_opposite_breakout_conservative__buffer_1__require_vwap_true,checkpoint,10.393649799982086
backtest/evaluation,MGC,allow_reclaim_after_opposite_breakout_conservative__buffer_1__require_vwap_false,,8.945734299952164
writing_exports,MGC,allow_reclaim_after_opposite_breakout_conservative__buffer_1__require_vwap_false,checkpoint,10.618974999990314
backtest/evaluation,MGC,allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_1,,8.430228400044143
writing_exports,MGC,allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_1,checkpoint,10.903797999955714
backtest/evaluation,MGC,allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_2,,8.37688049999997
writing_exports,MGC,allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_2,checkpoint,10.493716799886897
backtest/evaluation,MGC,allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_3,,9.61491830018349
writing_exports,MGC,allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_3,checkpoint,10.819150900002569
backtest/evaluation,MGC,allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_1,,8.650326299946755
writing_exports,MGC,allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_1,checkpoint,10.849784400081262
backtest/evaluation,MGC,allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_2,,8.468373500043526
writing_exports,MGC,allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_2,checkpoint,10.811227099969983
backtest/evaluation,MGC,allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_3,,8.579497099854052
writing_exports,MGC,allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_3,checkpoint,11.033069200115278
backtest/evaluation,MGC,allow_reclaim_after_opposite_breakout_strict__buffer_2__reclaim_1,,8.21603519981727
writing_exports,MGC,allow_reclaim_after_opposite_breakout_strict__buffer_2__reclaim_1,checkpoint,11.251114799873903
backtest/evaluation,MGC,allow_reclaim_after_opposite_breakout_strict__buffer_2__reclaim_2,,8.142789299832657
writing_exports,MGC,allow_reclaim_after_opposite_breakout_strict__buffer_2__reclaim_2,checkpoint,11.35227659996599
backtest/evaluation,MGC,allow_reclaim_after_opposite_breakout_strict__buffer_2__reclaim_3,,8.442103300010785
writing_exports,MGC,allow_reclaim_after_opposite_breakout_strict__buffer_2__reclaim_3,checkpoint,11.468146600062028
